winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Australia,,2005-02-17,Eden Park,Australia,bat,New Zealand,Australia
England,,2005-06-13,The Rose Bowl,England,bat,England,Australia
New Zealand,,2005-10-21,New Wanderers Stadium,New Zealand,field,South Africa,New Zealand
Australia,,2006-01-09,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia,South Africa
South Africa,,2006-02-24,New Wanderers Stadium,South Africa,bat,South Africa,Australia
Sri Lanka,,2006-06-15,The Rose Bowl,Sri Lanka,bat,England,Sri Lanka
Pakistan,,2006-08-28,County Ground,England,bat,England,Pakistan
India,,2006-12-01,New Wanderers Stadium,South Africa,bat,South Africa,India
Sri Lanka,,2006-12-22,Westpac Stadium,New Zealand,bat,New Zealand,Sri Lanka
New Zealand,,2006-12-26,Eden Park,New Zealand,field,New Zealand,Sri Lanka
Australia,,2007-01-09,Sydney Cricket Ground,Australia,bat,Australia,England
West Indies,,2007-06-28,Kennington Oval,West Indies,bat,England,West Indies
England,,2007-06-29,Kennington Oval,West Indies,bat,England,West Indies
Bangladesh,,2007-09-01,Gymkhana Club Ground,Bangladesh,field,Kenya,Bangladesh
Pakistan,,2007-09-02,Gymkhana Club Ground,Bangladesh,field,Bangladesh,Pakistan
Pakistan,,2007-09-04,Gymkhana Club Ground,Kenya,bat,Kenya,Pakistan
South Africa,,2007-09-11,New Wanderers Stadium,South Africa,field,South Africa,West Indies
New Zealand,,2007-09-12,Kingsmead,New Zealand,field,Kenya,New Zealand
Pakistan,,2007-09-12,Kingsmead,Scotland,field,Pakistan,Scotland
Zimbabwe,,2007-09-12,Newlands,Australia,bat,Australia,Zimbabwe
England,,2007-09-13,Newlands,England,bat,England,Zimbabwe
Bangladesh,,2007-09-13,New Wanderers Stadium,Bangladesh,field,Bangladesh,West Indies
Sri Lanka,,2007-09-14,New Wanderers Stadium,Kenya,field,Kenya,Sri Lanka
Australia,,2007-09-14,Newlands,England,bat,Australia,England
Sri Lanka,,2007-09-15,New Wanderers Stadium,New Zealand,bat,New Zealand,Sri Lanka
South Africa,,2007-09-15,Newlands,South Africa,field,South Africa,Bangladesh
Australia,,2007-09-16,Newlands,Australia,field,Australia,Bangladesh
New Zealand,,2007-09-16,New Wanderers Stadium,India,field,India,New Zealand
South Africa,,2007-09-16,Newlands,England,field,South Africa,England
Pakistan,,2007-09-17,New Wanderers Stadium,Sri Lanka,field,Pakistan,Sri Lanka
Sri Lanka,,2007-09-18,New Wanderers Stadium,Bangladesh,field,Bangladesh,Sri Lanka
New Zealand,,2007-09-18,Kingsmead,England,field,England,New Zealand
Pakistan,,2007-09-18,New Wanderers Stadium,Pakistan,field,Australia,Pakistan
South Africa,,2007-09-19,Kingsmead,South Africa,field,South Africa,New Zealand
India,,2007-09-19,Kingsmead,India,bat,England,India
Pakistan,,2007-09-20,Newlands,Pakistan,field,Bangladesh,Pakistan
India,,2007-09-20,Kingsmead,India,bat,South Africa,India
Australia,,2007-09-20,Newlands,Australia,field,Australia,Sri Lanka
Pakistan,,2007-09-22,Newlands,New Zealand,bat,New Zealand,Pakistan
India,,2007-09-22,Kingsmead,India,bat,Australia,India
India,,2007-09-24,New Wanderers Stadium,India,bat,India,Pakistan
India,,2007-10-20,Brabourne Stadium,Australia,bat,India,Australia
South Africa,,2007-11-23,New Wanderers Stadium,South Africa,field,South Africa,New Zealand
Australia,,2007-12-11,Western Australia Cricket Association Ground,Australia,bat,Australia,New Zealand
West Indies,,2007-12-16,St George's Park,West Indies,field,South Africa,West Indies
South Africa,,2008-01-18,New Wanderers Stadium,South Africa,field,South Africa,West Indies
Australia,,2008-02-01,Melbourne Cricket Ground,India,bat,Australia,India
England,,2008-02-05,Eden Park,New Zealand,field,New Zealand,England
England,,2008-02-07,Jade Stadium,England,bat,New Zealand,England
Pakistan,,2008-04-20,National Stadium,Pakistan,bat,Pakistan,Bangladesh
England,,2008-06-13,Old Trafford,England,field,England,New Zealand
West Indies,,2008-06-20,"Kensington Oval, Bridgetown",West Indies,field,West Indies,Australia
Scotland,,2008-08-03,"Civil Service Cricket Club, Stormont",Scotland,field,Bermuda,Scotland
Netherlands,,2008-08-04,"Civil Service Cricket Club, Stormont",Netherlands,field,Netherlands,Scotland
Ireland,,2008-08-04,"Civil Service Cricket Club, Stormont",Ireland,field,Ireland,Kenya
Pakistan,,2008-10-11,Maple Leaf North-West Ground,Pakistan,field,Pakistan,Sri Lanka
Sri Lanka,,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,field,Pakistan,Sri Lanka
South Africa,,2008-11-05,New Wanderers Stadium,Bangladesh,field,South Africa,Bangladesh
New Zealand,,2008-12-28,Seddon Park,New Zealand,bat,New Zealand,West Indies
Australia,,2009-01-11,Melbourne Cricket Ground,Australia,bat,Australia,South Africa
Australia,,2009-01-13,"Brisbane Cricket Ground, Woolloongabba",South Africa,bat,Australia,South Africa
India,,2009-02-10,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,India
Australia,,2009-02-15,Sydney Cricket Ground,Australia,bat,Australia,New Zealand
New Zealand,,2009-02-25,AMI Stadium,New Zealand,field,New Zealand,India
New Zealand,,2009-02-27,Westpac Stadium,New Zealand,field,New Zealand,India
West Indies,,2009-03-15,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies,England
South Africa,,2009-03-27,New Wanderers Stadium,South Africa,field,South Africa,Australia
South Africa,,2009-03-29,SuperSport Park,Australia,field,South Africa,Australia
Pakistan,,2009-05-07,Dubai International Cricket Stadium,Pakistan,field,Australia,Pakistan
Netherlands,,2009-06-05,Lord's,Netherlands,field,England,Netherlands
New Zealand,,2009-06-06,Kennington Oval,New Zealand,field,New Zealand,Scotland
India,,2009-06-06,Trent Bridge,India,bat,Bangladesh,India
West Indies,,2009-06-06,Kennington Oval,Australia,bat,Australia,West Indies
England,,2009-06-07,Kennington Oval,Pakistan,field,England,Pakistan
South Africa,,2009-06-07,Kennington Oval,Scotland,field,Scotland,South Africa
Ireland,,2009-06-08,Trent Bridge,Ireland,field,Bangladesh,Ireland
Sri Lanka,,2009-06-08,Trent Bridge,Sri Lanka,field,Australia,Sri Lanka
South Africa,,2009-06-09,Lord's,New Zealand,field,New Zealand,South Africa
Pakistan,,2009-06-09,Lord's,Pakistan,bat,Netherlands,Pakistan
India,,2009-06-10,Trent Bridge,India,field,India,Ireland
Sri Lanka,,2009-06-10,Trent Bridge,West Indies,field,Sri Lanka,West Indies
South Africa,,2009-06-11,Trent Bridge,England,bat,England,South Africa
New Zealand,,2009-06-11,Trent Bridge,Ireland,field,Ireland,New Zealand
Sri Lanka,,2009-06-12,Lord's,Sri Lanka,bat,Pakistan,Sri Lanka
West Indies,,2009-06-12,Lord's,India,bat,India,West Indies
South Africa,,2009-06-13,Kennington Oval,West Indies,field,South Africa,West Indies
Pakistan,,2009-06-13,Kennington Oval,New Zealand,bat,New Zealand,Pakistan
England,,2009-06-14,Lord's,India,field,England,India
Sri Lanka,,2009-06-14,Lord's,Sri Lanka,bat,Ireland,Sri Lanka
Pakistan,,2009-06-15,Kennington Oval,Pakistan,bat,Ireland,Pakistan
West Indies,,2009-06-15,Kennington Oval,England,bat,England,West Indies
South Africa,,2009-06-16,Trent Bridge,South Africa,bat,India,South Africa
Sri Lanka,,2009-06-16,Trent Bridge,Sri Lanka,bat,New Zealand,Sri Lanka
Pakistan,,2009-06-18,Trent Bridge,Pakistan,bat,Pakistan,South Africa
Sri Lanka,,2009-06-19,Kennington Oval,West Indies,field,Sri Lanka,West Indies
Pakistan,,2009-06-21,Lord's,Sri Lanka,bat,Pakistan,Sri Lanka
West Indies,,2009-08-02,"Warner Park, Basseterre",Bangladesh,bat,West Indies,Bangladesh
Pakistan,,2009-08-12,R Premadasa Stadium,Pakistan,bat,Sri Lanka,Pakistan
New Zealand,,2009-09-02,R Premadasa Stadium,New Zealand,bat,Sri Lanka,New Zealand
New Zealand,,2009-09-04,R Premadasa Stadium,New Zealand,bat,Sri Lanka,New Zealand
Pakistan,,2009-11-12,Dubai International Cricket Stadium,New Zealand,field,New Zealand,Pakistan
England,,2009-11-13,New Wanderers Stadium,South Africa,field,South Africa,England
Pakistan,,2009-11-13,Dubai International Cricket Stadium,Pakistan,bat,New Zealand,Pakistan
South Africa,,2009-11-15,SuperSport Park,South Africa,bat,South Africa,England
Sri Lanka,,2009-12-09,"Vidarbha Cricket Association Stadium, Jamtha",India,field,India,Sri Lanka
India,,2009-12-12,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,bat,India,Sri Lanka
New Zealand,,2010-02-03,Seddon Park,Bangladesh,bat,New Zealand,Bangladesh
Australia,,2010-02-05,Melbourne Cricket Ground,Australia,bat,Australia,Pakistan
Netherlands,,2010-02-09,Dubai International Cricket Stadium,Canada,bat,Canada,Netherlands
Kenya,,2010-02-10,Dubai International Cricket Stadium,Kenya,field,Canada,Kenya
Ireland,,2010-02-11,Dubai International Cricket Stadium,Ireland,bat,Ireland,Scotland
Ireland,,2010-02-13,Dubai International Cricket Stadium,Ireland,bat,Ireland,Netherlands
England,,2010-02-19,Dubai International Cricket Stadium,Pakistan,bat,England,Pakistan
Pakistan,,2010-02-20,Dubai International Cricket Stadium,Pakistan,field,England,Pakistan
Australia,,2010-02-21,Bellerive Oval,Australia,bat,Australia,West Indies
Australia,,2010-02-23,Sydney Cricket Ground,West Indies,bat,Australia,West Indies
Australia,,2010-02-26,Westpac Stadium,New Zealand,bat,New Zealand,Australia
Zimbabwe,,2010-02-28,"Queen's Park Oval, Port of Spain",Zimbabwe,bat,West Indies,Zimbabwe
West Indies,,2010-04-30,Providence Stadium,West Indies,bat,West Indies,Ireland
New Zealand,,2010-04-30,Providence Stadium,Sri Lanka,bat,New Zealand,Sri Lanka
Pakistan,,2010-05-01,"Beausejour Stadium, Gros Islet",Pakistan,bat,Bangladesh,Pakistan
Australia,,2010-05-02,"Beausejour Stadium, Gros Islet",Australia,bat,Australia,Pakistan
India,,2010-05-02,"Beausejour Stadium, Gros Islet",South Africa,field,India,South Africa
West Indies,,2010-05-03,Providence Stadium,West Indies,field,West Indies,England
Sri Lanka,,2010-05-03,Providence Stadium,Sri Lanka,bat,Sri Lanka,Zimbabwe
New Zealand,,2010-05-04,Providence Stadium,New Zealand,field,New Zealand,Zimbabwe
Australia,,2010-05-05,"Kensington Oval, Bridgetown",Australia,bat,Australia,Bangladesh
South Africa,,2010-05-06,"Kensington Oval, Bridgetown",South Africa,bat,New Zealand,South Africa
England,,2010-05-06,"Kensington Oval, Bridgetown",England,field,England,Pakistan
Sri Lanka,,2010-05-07,"Kensington Oval, Bridgetown",Sri Lanka,bat,West Indies,Sri Lanka
Australia,,2010-05-07,"Kensington Oval, Bridgetown",India,field,Australia,India
England,,2010-05-08,"Kensington Oval, Bridgetown",England,bat,England,South Africa
New Zealand,,2010-05-08,"Kensington Oval, Bridgetown",Pakistan,field,New Zealand,Pakistan
West Indies,,2010-05-09,"Kensington Oval, Bridgetown",India,field,West Indies,India
Australia,,2010-05-09,"Kensington Oval, Bridgetown",Australia,bat,Australia,Sri Lanka
England,,2010-05-10,"Beausejour Stadium, Gros Islet",New Zealand,bat,England,New Zealand
Pakistan,,2010-05-10,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,South Africa
Sri Lanka,,2010-05-11,"Beausejour Stadium, Gros Islet",India,bat,India,Sri Lanka
Australia,,2010-05-11,"Beausejour Stadium, Gros Islet",West Indies,bat,West Indies,Australia
England,,2010-05-13,"Beausejour Stadium, Gros Islet",Sri Lanka,bat,England,Sri Lanka
Australia,,2010-05-14,"Beausejour Stadium, Gros Islet",Australia,field,Australia,Pakistan
England,,2010-05-16,"Kensington Oval, Bridgetown",England,field,Australia,England
South Africa,,2010-05-19,"Sir Vivian Richards Stadium, North Sound",West Indies,field,West Indies,South Africa
South Africa,,2010-05-20,"Sir Vivian Richards Stadium, North Sound",West Indies,field,West Indies,South Africa
New Zealand,,2010-05-22,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,New Zealand,Sri Lanka
Sri Lanka,,2010-05-23,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,New Zealand,Sri Lanka
India,,2010-06-12,Harare Sports Club,India,field,Zimbabwe,India
India,,2010-06-13,Harare Sports Club,India,field,Zimbabwe,India
Pakistan,,2010-07-05,Edgbaston,Pakistan,bat,Australia,Pakistan
Pakistan,,2010-07-06,Edgbaston,Pakistan,bat,Australia,Pakistan
England,,2010-09-05,Sophia Gardens,England,field,England,Pakistan
England,,2010-09-07,Sophia Gardens,Pakistan,bat,England,Pakistan
South Africa,,2010-10-08,OUTsurance Oval,Zimbabwe,bat,South Africa,Zimbabwe
South Africa,,2010-10-10,De Beers Diamond Oval,South Africa,bat,South Africa,Zimbabwe
South Africa,,2010-10-26,Sheikh Zayed Stadium,Pakistan,bat,Pakistan,South Africa
South Africa,,2010-10-27,Sheikh Zayed Stadium,Pakistan,bat,Pakistan,South Africa
Sri Lanka,,2010-10-31,Western Australia Cricket Association Ground,Australia,bat,Australia,Sri Lanka
New Zealand,,2010-12-26,Eden Park,New Zealand,field,New Zealand,Pakistan
New Zealand,,2010-12-28,Seddon Park,Pakistan,field,New Zealand,Pakistan
Pakistan,,2010-12-30,AMI Stadium,Pakistan,bat,New Zealand,Pakistan
India,,2011-01-09,Moses Mabhida Stadium,India,bat,South Africa,India
England,,2011-01-12,Adelaide Oval,Australia,bat,Australia,England
Australia,,2011-01-14,Melbourne Cricket Ground,Australia,bat,Australia,England
West Indies,,2011-04-21,"Beausejour Stadium, Gros Islet",West Indies,bat,West Indies,Pakistan
India,,2011-06-04,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies,India
Sri Lanka,,2011-06-25,County Ground,Sri Lanka,field,England,Sri Lanka
Sri Lanka,,2011-08-06,Pallekele International Cricket Stadium,Australia,field,Sri Lanka,Australia
Sri Lanka,,2011-08-08,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,Australia
England,,2011-08-31,Old Trafford,India,bat,England,India
Pakistan,,2011-09-16,Harare Sports Club,Zimbabwe,field,Zimbabwe,Pakistan
Pakistan,,2011-09-18,Harare Sports Club,Pakistan,bat,Zimbabwe,Pakistan
England,,2011-09-23,Kennington Oval,England,field,England,West Indies
West Indies,,2011-09-25,Kennington Oval,England,field,England,West Indies
Bangladesh,,2011-10-11,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,West Indies
Australia,,2011-10-13,Newlands,South Africa,bat,South Africa,Australia
New Zealand,,2011-10-15,Harare Sports Club,New Zealand,field,Zimbabwe,New Zealand
South Africa,,2011-10-16,New Wanderers Stadium,Australia,bat,South Africa,Australia
New Zealand,,2011-10-17,Harare Sports Club,Zimbabwe,field,Zimbabwe,New Zealand
England,,2011-10-29,Eden Gardens,India,bat,India,England
Pakistan,,2011-11-25,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan,Sri Lanka
Pakistan,,2011-11-29,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,Pakistan
Australia,,2012-02-01,Stadium Australia,India,field,Australia,India
India,,2012-02-03,Melbourne Cricket Ground,Australia,bat,Australia,India
New Zealand,,2012-02-11,Eden Park,Zimbabwe,bat,New Zealand,Zimbabwe
New Zealand,,2012-02-14,Seddon Park,Zimbabwe,bat,New Zealand,Zimbabwe
New Zealand,,2012-02-17,Westpac Stadium,New Zealand,field,New Zealand,South Africa
South Africa,,2012-02-19,Seddon Park,South Africa,field,New Zealand,South Africa
Ireland,,2012-02-22,Mombasa Sports Club Ground,Ireland,field,Kenya,Ireland
South Africa,,2012-02-22,Eden Park,New Zealand,field,New Zealand,South Africa
Ireland,,2012-02-23,Mombasa Sports Club Ground,Kenya,bat,Kenya,Ireland
Pakistan,,2012-02-23,Dubai International Cricket Stadium,England,field,England,Pakistan
Ireland,,2012-02-24,Mombasa Sports Club Ground,Ireland,bat,Kenya,Ireland
England,,2012-02-25,Dubai International Cricket Stadium,England,bat,England,Pakistan
England,,2012-02-27,Sheikh Zayed Stadium,England,bat,England,Pakistan
Netherlands,,2012-03-13,Dubai International Cricket Stadium,Netherlands,bat,Canada,Netherlands
Ireland,,2012-03-14,Dubai International Cricket Stadium,Kenya,bat,Ireland,Kenya
Ireland,,2012-03-18,Dubai International Cricket Stadium,Ireland,bat,Ireland,Scotland
Ireland,,2012-03-22,Dubai International Cricket Stadium,Canada,bat,Canada,Ireland
Scotland,,2012-03-23,Dubai International Cricket Stadium,Canada,bat,Canada,Scotland
Ireland,,2012-03-23,Dubai International Cricket Stadium,Ireland,field,Ireland,Netherlands
Australia,,2012-03-27,"Beausejour Stadium, Gros Islet",West Indies,bat,West Indies,Australia
South Africa,,2012-03-30,New Wanderers Stadium,India,field,South Africa,India
West Indies,,2012-03-30,"Kensington Oval, Bridgetown",West Indies,bat,West Indies,Australia
Sri Lanka,,2012-06-01,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Sri Lanka,Pakistan
Pakistan,,2012-06-03,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,bat,Sri Lanka,Pakistan
England,,2012-06-24,Trent Bridge,West Indies,bat,England,West Indies
West Indies,,2012-06-30,Central Broward Regional Park Stadium Turf Ground,New Zealand,field,New Zealand,West Indies
West Indies,,2012-07-01,Central Broward Regional Park Stadium Turf Ground,West Indies,bat,New Zealand,West Indies
Bangladesh,,2012-07-18,"Civil Service Cricket Club, Stormont",Ireland,field,Ireland,Bangladesh
Bangladesh,,2012-07-25,Sportpark Westvliet,Netherlands,bat,Netherlands,Bangladesh
Netherlands,,2012-07-26,Sportpark Westvliet,Bangladesh,bat,Netherlands,Bangladesh
India,,2012-08-07,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,India
Pakistan,,2012-09-05,Dubai International Cricket Stadium,Pakistan,field,Australia,Pakistan
South Africa,,2012-09-08,Riverside Ground,South Africa,field,England,South Africa
Australia,,2012-09-10,Dubai International Cricket Stadium,Pakistan,field,Australia,Pakistan
New Zealand,,2012-09-11,"MA Chidambaram Stadium, Chepauk",India,field,India,New Zealand
England,,2012-09-12,Edgbaston,South Africa,field,England,South Africa
Sri Lanka,,2012-09-18,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,field,Sri Lanka,Zimbabwe
Australia,,2012-09-19,R Premadasa Stadium,Ireland,bat,Australia,Ireland
South Africa,,2012-09-20,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,field,South Africa,Zimbabwe
New Zealand,,2012-09-21,Pallekele International Cricket Stadium,Bangladesh,field,Bangladesh,New Zealand
Australia,,2012-09-22,R Premadasa Stadium,West Indies,bat,Australia,West Indies
South Africa,,2012-09-22,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,Sri Lanka,South Africa
Pakistan,,2012-09-23,Pallekele International Cricket Stadium,Pakistan,bat,New Zealand,Pakistan
India,,2012-09-23,R Premadasa Stadium,England,field,England,India
Pakistan,,2012-09-25,Pallekele International Cricket Stadium,Bangladesh,bat,Bangladesh,Pakistan
West Indies,,2012-09-27,Pallekele International Cricket Stadium,West Indies,bat,England,West Indies
Pakistan,,2012-09-28,R Premadasa Stadium,South Africa,bat,Pakistan,South Africa
Australia,,2012-09-28,R Premadasa Stadium,India,bat,Australia,India
England,,2012-09-29,Pallekele International Cricket Stadium,New Zealand,bat,England,New Zealand
Sri Lanka,,2012-09-29,Pallekele International Cricket Stadium,West Indies,bat,Sri Lanka,West Indies
India,,2012-09-30,R Premadasa Stadium,Pakistan,bat,India,Pakistan
Australia,,2012-09-30,R Premadasa Stadium,Australia,field,Australia,South Africa
Sri Lanka,,2012-10-01,Pallekele International Cricket Stadium,England,field,Sri Lanka,England
India,,2012-10-02,R Premadasa Stadium,South Africa,field,India,South Africa
Pakistan,,2012-10-02,R Premadasa Stadium,Australia,field,Australia,Pakistan
Sri Lanka,,2012-10-04,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,Pakistan
West Indies,,2012-10-05,R Premadasa Stadium,West Indies,bat,Australia,West Indies
West Indies,,2012-10-07,R Premadasa Stadium,West Indies,bat,Sri Lanka,West Indies
West Indies,,2012-12-10,Shere Bangla National Stadium,West Indies,bat,Bangladesh,West Indies
India,,2012-12-20,Subrata Roy Sahara Stadium,India,field,India,England
South Africa,,2012-12-21,Kingsmead,New Zealand,bat,South Africa,New Zealand
England,,2012-12-22,Wankhede Stadium,England,field,India,England
New Zealand,,2012-12-23,Buffalo Park,New Zealand,field,South Africa,New Zealand
Pakistan,,2012-12-25,M Chinnaswamy Stadium,Pakistan,field,India,Pakistan
South Africa,,2012-12-26,St George's Park,South Africa,bat,South Africa,New Zealand
India,,2012-12-28,"Sardar Patel Stadium, Motera",Pakistan,field,India,Pakistan
Sri Lanka,,2013-01-26,Stadium Australia,Australia,bat,Australia,Sri Lanka
Sri Lanka,,2013-01-28,Melbourne Cricket Ground,Australia,field,Australia,Sri Lanka
England,,2013-02-09,Eden Park,New Zealand,field,New Zealand,England
New Zealand,,2013-02-12,Seddon Park,England,field,New Zealand,England
West Indies,,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",West Indies,bat,Australia,West Indies
England,,2013-02-15,Westpac Stadium,England,field,New Zealand,England
West Indies,,2013-03-02,"Sir Vivian Richards Stadium, North Sound",Zimbabwe,bat,West Indies,Zimbabwe
Pakistan,,2013-03-03,SuperSport Park,Pakistan,bat,South Africa,Pakistan
West Indies,,2013-03-03,"Sir Vivian Richards Stadium, North Sound",West Indies,bat,West Indies,Zimbabwe
Canada,,2013-03-15,ICC Global Cricket Academy,Kenya,bat,Canada,Kenya
Kenya,,2013-03-16,ICC Global Cricket Academy,Kenya,bat,Canada,Kenya
Sri Lanka,,2013-03-31,Pallekele International Cricket Stadium,Bangladesh,field,Sri Lanka,Bangladesh
Kenya,,2013-04-19,Wanderers Cricket Ground,Netherlands,bat,Kenya,Netherlands
Kenya,,2013-04-20,Wanderers Cricket Ground,Kenya,field,Kenya,Netherlands
Zimbabwe,,2013-05-11,Queens Sports Club,Zimbabwe,bat,Zimbabwe,Bangladesh
Bangladesh,,2013-05-12,Queens Sports Club,Bangladesh,bat,Zimbabwe,Bangladesh
New Zealand,,2013-06-25,Kennington Oval,England,field,England,New Zealand
Pakistan,,2013-07-27,"Arnos Vale Ground, Kingstown",West Indies,bat,West Indies,Pakistan
Pakistan,,2013-07-28,"Arnos Vale Ground, Kingstown",Pakistan,bat,West Indies,Pakistan
South Africa,,2013-08-02,R Premadasa Stadium,South Africa,bat,Sri Lanka,South Africa
South Africa,,2013-08-04,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,Sri Lanka,South Africa
Sri Lanka,,2013-08-06,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,Sri Lanka,South Africa
Pakistan,,2013-08-23,Harare Sports Club,Zimbabwe,field,Zimbabwe,Pakistan
Pakistan,,2013-08-24,Harare Sports Club,Zimbabwe,field,Zimbabwe,Pakistan
Australia,,2013-08-29,The Rose Bowl,England,field,England,Australia
England,,2013-08-31,Riverside Ground,Australia,field,England,Australia
India,,2013-10-10,Saurashtra Cricket Association Stadium,India,field,India,Australia
New Zealand,,2013-11-06,Shere Bangla National Stadium,New Zealand,bat,Bangladesh,New Zealand
South Africa,,2013-11-13,Dubai International Cricket Stadium,Pakistan,bat,Pakistan,South Africa
South Africa,,2013-11-15,Dubai International Cricket Stadium,South Africa,bat,Pakistan,South Africa
Ireland,,2013-11-16,Sheikh Zayed Stadium,Canada,field,Canada,Ireland
Kenya,,2013-11-19,ICC Academy,Kenya,bat,Kenya,Scotland
South Africa,,2013-11-20,New Wanderers Stadium,Pakistan,field,South Africa,Pakistan
Sri Lanka,,2013-11-21,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,New Zealand
Pakistan,,2013-11-22,Newlands,Pakistan,bat,South Africa,Pakistan
Scotland,,2013-11-22,ICC Academy,Netherlands,field,Netherlands,Scotland
Netherlands,,2013-11-23,ICC Academy,Netherlands,bat,Kenya,Netherlands
Kenya,,2013-11-26,Sharjah Cricket Stadium,Kenya,bat,Canada,Kenya
Netherlands,,2013-11-28,Sheikh Zayed Stadium,Scotland,bat,Netherlands,Scotland
Pakistan,,2013-12-11,Dubai International Cricket Stadium,Pakistan,field,Pakistan,Sri Lanka
Sri Lanka,,2013-12-13,Dubai International Cricket Stadium,Pakistan,field,Pakistan,Sri Lanka
New Zealand,,2014-01-11,Eden Park,New Zealand,bat,New Zealand,West Indies
New Zealand,,2014-01-15,Westpac Stadium,West Indies,bat,New Zealand,West Indies
Australia,,2014-01-29,Bellerive Oval,Australia,bat,Australia,England
Australia,,2014-01-31,Melbourne Cricket Ground,England,bat,Australia,England
Australia,,2014-02-02,Stadium Australia,Australia,bat,Australia,England
Sri Lanka,,2014-02-12,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh,Sri Lanka
Sri Lanka,,2014-02-14,Zahur Ahmed Chowdhury Stadium,Bangladesh,bat,Bangladesh,Sri Lanka
Ireland,,2014-02-19,"Sabina Park, Kingston",West Indies,bat,West Indies,Ireland
West Indies,,2014-02-21,"Sabina Park, Kingston",Ireland,field,West Indies,Ireland
West Indies,,2014-03-09,"Kensington Oval, Bridgetown",West Indies,bat,West Indies,England
West Indies,,2014-03-11,"Kensington Oval, Bridgetown",England,bat,West Indies,England
Australia,,2014-03-12,Kingsmead,Australia,field,South Africa,Australia
England,,2014-03-13,"Kensington Oval, Bridgetown",England,bat,West Indies,England
Australia,,2014-03-14,SuperSport Park,Australia,field,South Africa,Australia
Nepal,,2014-03-16,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Hong Kong,Nepal
Ireland,,2014-03-17,Sylhet Stadium,Ireland,field,Ireland,Zimbabwe
Netherlands,,2014-03-17,Sylhet Stadium,United Arab Emirates,bat,Netherlands,United Arab Emirates
Bangladesh,,2014-03-18,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh,Nepal
Zimbabwe,,2014-03-19,Sylhet Stadium,Netherlands,bat,Netherlands,Zimbabwe
Ireland,,2014-03-19,Sylhet Stadium,Ireland,field,Ireland,United Arab Emirates
Hong Kong,,2014-03-20,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Bangladesh,Hong Kong
Zimbabwe,,2014-03-21,Sylhet Stadium,Zimbabwe,field,United Arab Emirates,Zimbabwe
Netherlands,,2014-03-21,Sylhet Stadium,Netherlands,field,Ireland,Netherlands
India,,2014-03-21,Shere Bangla National Stadium,India,field,India,Pakistan
Sri Lanka,,2014-03-22,Zahur Ahmed Chowdhury Stadium,Sri Lanka,bat,South Africa,Sri Lanka
New Zealand,,2014-03-22,Zahur Ahmed Chowdhury Stadium,New Zealand,field,England,New Zealand
India,,2014-03-23,Shere Bangla National Stadium,India,field,India,West Indies
Pakistan,,2014-03-23,Shere Bangla National Stadium,Australia,field,Australia,Pakistan
Sri Lanka,,2014-03-24,Zahur Ahmed Chowdhury Stadium,Sri Lanka,field,Netherlands,Sri Lanka
South Africa,,2014-03-24,Zahur Ahmed Chowdhury Stadium,New Zealand,field,New Zealand,South Africa
West Indies,,2014-03-25,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,West Indies
South Africa,,2014-03-27,Zahur Ahmed Chowdhury Stadium,Netherlands,field,Netherlands,South Africa
England,,2014-03-27,Zahur Ahmed Chowdhury Stadium,England,field,England,Sri Lanka
India,,2014-03-28,Shere Bangla National Stadium,India,field,Bangladesh,India
West Indies,,2014-03-28,Shere Bangla National Stadium,Australia,bat,Australia,West Indies
South Africa,,2014-03-29,Zahur Ahmed Chowdhury Stadium,England,field,England,South Africa
