winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Hong Kong,,2019-10-27,Tolerance Oval,Nigeria,bat,Hong Kong,Nigeria
Papua New Guinea,,2019-10-27,Dubai International Cricket Stadium,Kenya,field,Kenya,Papua New Guinea
Australia,,2019-10-27,Adelaide Oval,Sri Lanka,field,Australia,Sri Lanka
Namibia,,2019-10-29,Dubai International Cricket Stadium,Namibia,bat,Namibia,Oman
Netherlands,,2019-10-29,Dubai International Cricket Stadium,United Arab Emirates,bat,United Arab Emirates,Netherlands
Oman,,2019-10-30,Dubai International Cricket Stadium,Oman,bat,Hong Kong,Oman
Australia,,2019-10-30,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia,Sri Lanka
Scotland,,2019-10-30,Dubai International Cricket Stadium,Scotland,bat,United Arab Emirates,Scotland
Scotland,,2019-10-31,ICC Academy,Oman,bat,Oman,Scotland
Netherlands,,2019-11-01,Dubai International Cricket Stadium,Ireland,field,Ireland,Netherlands
Papua New Guinea,,2019-11-01,Dubai International Cricket Stadium,Papua New Guinea,bat,Namibia,Papua New Guinea
Australia,,2019-11-01,Melbourne Cricket Ground,Australia,field,Australia,Sri Lanka
England,,2019-11-01,Hagley Oval,England,field,New Zealand,England
Netherlands,,2019-11-02,Dubai International Cricket Stadium,Papua New Guinea,bat,Netherlands,Papua New Guinea
Ireland,,2019-11-02,Dubai International Cricket Stadium,Ireland,bat,Ireland,Namibia
Bangladesh,,2019-11-03,Arun Jaitley Stadium,Bangladesh,field,India,Bangladesh
New Zealand,,2019-11-03,Westpac Stadium,England,field,New Zealand,England
New Zealand,,2019-11-05,Saxton Oval,New Zealand,bat,New Zealand,England
Australia,,2019-11-05,Manuka Oval,Pakistan,bat,Australia,Pakistan
India,,2019-11-07,Saurashtra Cricket Association Stadium,India,field,India,Bangladesh
Australia,,2019-11-08,Perth Stadium,Australia,field,Australia,Pakistan
England,,2019-11-08,McLean Park,New Zealand,field,New Zealand,England
India,,2019-11-10,"Vidarbha Cricket Association Stadium, Jamtha",Bangladesh,field,India,Bangladesh
Nepal,,2019-12-05,Tribhuvan University International Cricket Ground,Bhutan,field,Nepal,Bhutan
Nepal,,2019-12-06,Tribhuvan University International Cricket Ground,Nepal,bat,Nepal,Maldives
India,,2019-12-06,"Rajiv Gandhi International Stadium, Uppal",India,field,India,West Indies
Maldives,,2019-12-07,Tribhuvan University International Cricket Ground,Maldives,field,Bhutan,Maldives
West Indies,,2019-12-08,Greenfield International Stadium,West Indies,field,India,West Indies
Nepal,,2019-12-09,Tribhuvan University International Cricket Ground,Nepal,field,Nepal,Maldives
India,,2019-12-11,Wankhede Stadium,West Indies,field,India,West Indies
India,,2020-01-07,Holkar Cricket Stadium,India,field,India,Sri Lanka
India,,2020-01-10,Maharashtra Cricket Association Stadium,Sri Lanka,field,India,Sri Lanka
Ireland,,2020-01-15,"National Cricket Stadium, Grenada",Ireland,bat,West Indies,Ireland
West Indies,,2020-01-19,"Warner Park, St Kitts",West Indies,field,West Indies,Ireland
Pakistan,,2020-01-24,Gaddafi Stadium,Bangladesh,bat,Pakistan,Bangladesh
India,,2020-01-24,Eden Park,India,field,New Zealand,India
Pakistan,,2020-01-25,Gaddafi Stadium,Bangladesh,bat,Pakistan,Bangladesh
India,,2020-01-26,Eden Park,New Zealand,bat,New Zealand,India
India,,2020-02-02,Bay Oval,India,bat,New Zealand,India
South Africa,,2020-02-12,Buffalo Park,England,field,South Africa,England
England,,2020-02-14,Kingsmead,South Africa,field,South Africa,England
England,,2020-02-16,SuperSport Park,South Africa,bat,South Africa,England
Malaysia,,2020-02-20,Kinrara Academy Oval,Malaysia,bat,Malaysia,Hong Kong
Australia,,2020-02-21,The Wanderers Stadium,South Africa,field,South Africa,Australia
Malaysia,,2020-02-21,Kinrara Academy Oval,Malaysia,bat,Malaysia,Hong Kong
Malaysia,,2020-02-23,Kinrara Academy Oval,Malaysia,bat,Malaysia,Hong Kong
South Africa,,2020-02-23,St George's Park,South Africa,bat,South Africa,Australia
Malaysia,,2020-02-24,Kinrara Academy Oval,Malaysia,bat,Malaysia,Hong Kong
Bahrain,,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,bat,Bahrain,Qatar
United Arab Emirates,,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,Saudi Arabia,United Arab Emirates
Oman,,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,Maldives
Kuwait,,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,Iran,Kuwait
Kuwait,,2020-02-26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,Kuwait,Bahrain
United Arab Emirates,,2020-02-26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,Qatar,United Arab Emirates
Malaysia,,2020-02-26,Kinrara Academy Oval,Hong Kong,bat,Malaysia,Hong Kong
Australia,,2020-02-26,Newlands,South Africa,field,South Africa,Australia
